 ,X,Y
1,327.82,319.16
2,320.50,316.50
3,317.50,315.50
4,311.50,316.50
5,313.94,318.83
6,336.50,317.50
7,317.50,318.50
8,313.25,329.25
9,308.28,344.05
10,345.75,343.89
11,325.50,351.50
